id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44085,Villa in Addaia great sea view and fun pool,193043,Manuela,,Es Mercadal,40.00946,4.20026,Entire home/apt,99,5,14,2018-08-25,0.15,4,220
102558,appartment in Menorca -Cala Galdana,536023,Yolanda,,Ciutadella de Menorca,39.94273,3.96278,Entire home/apt,50,7,29,2019-08-03,0.27,1,126
148138,APARTMENT TO RENT IN CIUTADELLA,715601,Jose Luis,,Ciutadella de Menorca,40.00222,3.79919,Entire home/apt,49,1,18,2020-01-03,0.21,3,333
245722,Son Magna. Charm and intimacy in a farm in Alaior,1289210,Miguel,,Alaior,39.89677,4.14912,Private room,200,3,19,2019-07-20,0.27,1,317
285865,Apartment sea view + swimming pool,1487752,Roberto,,Ciutadella de Menorca,40.00088,3.79955,Entire home/apt,69,4,68,2019-10-18,0.71,1,300
294398,Son Esquella - Charming Menorca,312145,Gabriela,,Alaior,39.89089,4.11607,Entire home/apt,450,3,12,2019-09-08,0.21,3,357
295705,The Most Perfect Villa in Menorca!,312145,Gabriela,,Alaior,39.89183,4.11577,Entire home/apt,1250,2,23,2019-10-13,0.25,3,302
325641,BEAUTIFUL VILLA IN A VIRGIN BEACH,1492975,Pili,,Mahón,39.8363,4.19367,Entire home/apt,189,3,31,2019-09-13,0.38,1,166
334376,Nice traditional house in Menorca,1913268,Familia,,Ciutadella de Menorca,40.00506,3.83711,Entire home/apt,70,3,32,2019-09-06,0.33,6,292
357026,Coqueto apartamento Son Bou Menorca,1740878,Emilio,,Alaior,39.90397,4.07033,Entire home/apt,75,5,23,2019-09-25,0.24,1,244
358378,MENORCA APARTMENT SON BOU BEACH,1807049,Miguel Angel,,Alaior,39.90178,4.07674,Entire home/apt,40,5,31,2019-10-19,0.45,2,215
366358,Stunning Farm in 500 acres Estate with Sea Access,1849697,V. Alessandro,,Ciutadella de Menorca,40.03523,3.96514,Entire home/apt,495,3,34,2019-10-23,0.35,2,267
366636,apartament en Son Bou Menorca Spain,1851146,Carmen,,Alaior,39.90258,4.07567,Entire home/apt,100,5,15,2019-09-03,0.18,1,1
370676,Traditional Family house (historical Ciutadella),1868061,Olga,,Ciutadella de Menorca,40.00286,3.8374,Entire home/apt,400,2,4,2018-07-22,0.17,1,349
372756,Beautiful Farm House in Menorca!!!!,312145,Gabriela,,Alaior,39.87428,4.13118,Entire home/apt,500,10,1,2012-08-16,0.01,3,365
382144,*Lovely cottage in natural setting*,1913268,Familia,,Ciutadella de Menorca,40.02229,3.94258,Entire home/apt,60,3,62,2019-09-13,0.63,6,321
386067,NEW APARTMENT NEXT TO THE BEACH,1932691,David,,Alaior,39.90435,4.07296,Entire home/apt,70,7,38,2019-09-15,0.40,1,330
394135,Mediterranean Garden Villa & Pool,1968952,Anne,,Ciutadella de Menorca,40.01474,3.84365,Entire home/apt,160,7,72,2019-08-24,0.75,2,128
403664,amazing attic seafront in Ciudadela,1913268,Familia,,Ciutadella de Menorca,39.99328,3.8312,Entire home/apt,142,3,83,2020-03-10,0.88,6,327
421030,MINI LOFT WITH GARDEN AND POOL,2093631,Sara,,Ciutadella de Menorca,40.00662,3.84296,Entire home/apt,25,3,16,2020-02-05,0.23,1,0
459265,Best view ever and nice beach very close,193043,Manuela,,Es Mercadal,40.01391,4.19865,Entire home/apt,99,5,10,2018-08-31,0.18,4,181
476724,Acojedor apartamento CALA GALDANA,2362933,Rosa,,Ciutadella de Menorca,39.9433,3.96275,Entire home/apt,45,5,41,2019-10-26,0.43,1,322
494480,NICE AND QUITE APPARTMENT FOR RENT,715601,Jose Luis,,Ciutadella de Menorca,39.99955,3.79833,Entire home/apt,55,1,30,2020-03-05,7.20,3,355
516153,VILLA MENORCA SWIMNGPOOL & SEA VIEW,2541948,Susana,,Mahón,39.89091,4.29592,Entire home/apt,198,15,0,,,1,0
517301,Preciosa casa en el campo menorquín,2546568,Paqui,,Mahón,39.93416,4.24318,Entire home/apt,160,2,40,2019-09-06,0.43,1,271
527985,Villa with pool 150m  from beach,2594436,Alejandro,,Ciutadella de Menorca,39.9689,3.83591,Entire home/apt,120,5,3,2019-10-26,0.14,1,307
549304,Casa Centro Ciutadella Menorca,2700491,Angeles,,Ciutadella de Menorca,40.00272,3.8382,Entire home/apt,101,5,77,2019-09-28,0.82,1,231
580840,Lovely Ciutadella Traditional House,1968952,Anne,,Ciutadella de Menorca,40.00094,3.83733,Entire home/apt,70,5,101,2019-11-03,1.08,2,247
589898,Villa Mercedes. Individual house,2911120,Víctor,,Ciutadella de Menorca,39.99182,3.83059,Entire home/apt,130,7,13,2019-07-27,0.37,1,0
596553,Terrific Couples Getaway in Minorca,2949986,Gabriel Y Beatriz,,Es Mercadal,39.97333,4.15161,Entire home/apt,120,7,65,2019-09-25,0.77,1,165
608987,Cottage house in Menorca,2434984,Virna Y David,,Sant Lluís,39.8536,4.25934,Private room,30,2,46,2017-09-03,0.57,1,359
636272,Luxury apartment in Cala `n Bosch,3171398,Esteban,,Ciutadella de Menorca,39.92839,3.83645,Entire home/apt,100,3,11,2019-08-27,0.16,1,320
682506,FLAT WITH SEA VIEWS & HIDDEN COVE 1,3477636,Carlos,,Ciutadella de Menorca,39.96769,3.83153,Entire home/apt,70,3,53,2019-09-09,0.57,2,365
725695,"COUNTRY HOUSE IN MENORCA, SON COSTA",3753883,Agrytur,,Alaior,39.93534,4.13891,Entire home/apt,220,2,30,2019-10-28,0.44,1,349
854050,VILLA SAVANNA CIUTADELLA DE MENORCA,4459815,Antonio,,Ciutadella de Menorca,40.00309,3.80649,Entire home/apt,450,7,9,2019-09-07,0.13,4,317
854051,VILLA SAVANNA Menorca,4459815,Antonio,,Ciutadella de Menorca,40.0025,3.80652,Entire home/apt,450,7,2,2016-09-19,0.03,4,317
864172,Menorca.Nice apartment with views. ,3571207,Gemma,,Es Mercadal,40.05232,4.10984,Entire home/apt,110,15,14,2018-07-18,0.17,1,335
877147,Loft en planta baja junto al puerto de Ciutadella,2914701,Francesc,,Ciutadella de Menorca,40.00094,3.83381,Entire home/apt,99,5,23,2019-09-10,0.29,3,275
877183,Estudio céntrico a un paso del casco antiguo,2914701,Francesc,,Ciutadella de Menorca,39.99795,3.84043,Entire home/apt,66,5,55,2019-10-29,0.66,3,301
920389,"House in the pine forest, Menorca",4690974,Enric,,Sant Lluís,39.83959,4.26124,Entire home/apt,270,3,4,2019-09-08,0.09,4,269
932244,"Camera con bagno privato - ""La rossa""",5013601,Alessandro,,Es Mercadal,40.00442,4.19521,Private room,57,5,89,2019-10-14,1.09,4,286
932315,"Camera con bagno privato - ""La verde""",5013601,Alessandro,,Es Mercadal,40.00474,4.19477,Private room,55,5,76,2019-10-14,0.92,4,300
954903,ALQUILO CASA CAMPO CON PISCINA ,5186207,Francisco,,Mahón,39.87657,4.26157,Entire home/apt,248,7,0,,,3,363
958828,MENORCAN ISLAND BEACH APARTMENT,5217925,"Balbisar,",,Es Mercadal,40.0345,4.1647,Entire home/apt,95,3,15,2019-07-28,0.21,1,293
959071,Apartamento con piscina a 50 m mar,5219222,Tano,,Ciutadella de Menorca,40.00141,3.80019,Entire home/apt,50,3,44,2019-06-11,0.54,3,327
965059,"Villa en Binibeca ""La Buganvilla"" MENORCA. ISLAS B",5261775,Soledad,,Sant Lluís,39.81885,4.24626,Entire home/apt,300,10,1,2019-08-10,0.11,1,305
967834,TOWN HOUSE WITH PRIVATE POOL,5719722,Roser,,Ciutadella de Menorca,39.99804,3.84306,Entire home/apt,113,2,88,2020-03-15,1.09,2,280
976380,Apartamento Binibeca Nou (E),5342587,Willy&Yago,,Sant Lluís,39.8204,4.2472,Entire home/apt,75,3,75,2019-10-25,0.88,3,302
976381,Apartamento Binibeca Nou (P),5342587,Willy&Yago,,Sant Lluís,39.82071,4.24785,Entire home/apt,69,3,63,2019-10-06,1.05,3,269
976386,Apartamento Binibeca Nou (C),5342587,Willy&Yago,,Sant Lluís,39.82108,4.24738,Entire home/apt,55,3,48,2019-09-27,0.80,3,292
994133,White Cottage 6,5460821,Joana,,Ciutadella de Menorca,39.94053,3.96061,Entire home/apt,52,7,46,2019-10-30,0.55,2,233
999469,TRANQUILO APTO DE 2 HAB. EN C BOSCH,715601,Jose Luis,,Ciutadella de Menorca,39.92813,3.83165,Entire home/apt,60,1,8,2019-08-22,0.10,3,359
1029964,Casa Esmeralda A a 100mt dal mare,5667074,Daniele,,Es Mercadal,40.02464,4.18634,Entire home/apt,95,3,27,2019-09-19,0.47,2,311
1047898,MENORCA CON ENCANTO Y ESPECIAL,5716562,Carmen,,Ferreries,39.98476,4.00948,Entire home/apt,75,7,40,2019-09-07,0.48,2,274
1051299,Seaside property in Binibeca,5787654,Laura,,Sant Lluís,39.81527,4.24737,Entire home/apt,126,4,15,2019-09-03,0.18,7,330
1052325,Es cucó. Ciutadella. Cap d’Artrutx,5794418,Silvia,,Ciutadella de Menorca,39.9299,3.82455,Entire home/apt,70,5,6,2019-08-24,0.07,2,311
1053577,Apartment for rent only 100m beach,5801428,Cosme,,Ciutadella de Menorca,40.00219,3.79922,Entire home/apt,125,7,13,2019-08-05,0.23,1,291
1054514,Private villa with pool & by sea,5787654,Laura,,Mahón,39.85053,4.17163,Entire home/apt,110,3,4,2020-01-21,0.06,7,236
1054742,"Casa Rockmorell / 10fullhouse, Cala Morell",5808369,Martin,,Ciutadella de Menorca,40.05278,3.88865,Entire home/apt,244,5,5,2019-09-08,0.07,6,192
1065016,"Casa Rockmorell / 6downstairs, Cala Morell",5808369,Martin,,Ciutadella de Menorca,40.05099,3.88868,Entire home/apt,125,5,5,2019-05-05,0.06,6,203
1074055,Fantastica casita delante del mar,4933352,Alba,,Sant Lluís,39.82896,4.21128,Entire home/apt,120,1,32,2019-09-15,0.39,1,339
